ID,cluster_id,valid,team_list,author_list,goal_list
26,cluster120,T,"[""team3473"",""team3287"",""team560"",""team3539"",""team4095""]","[""ID090576"",""ID062754"",""ID001302"",""ID086430"",""ID058868"",""ID046971"",""ID057314"",""ID062753"",""ID053979"",""ID059062"",""ID062754"",""ID053026"",""ID062753"",""ID071334"",""ID012657"",""ID030218"",""ID071264"",""ID071266"",""ID093244"",""ID071266"",""ID090492"",""ID062753"",""ID062754"",""ID062753"",""ID054695"",""ID091836"",""ID062754""]","[""G2"",""F2""]"
27,cluster121,F,"[""team302"",""team1274"",""team301""]","[""ID024493"",""ID029945"",""ID033156"",""ID001850"",""ID005460"",""ID016842"",""ID091052"",""ID061324"",""ID032160"",""ID061184"",""ID024482"",""ID033046"",""ID029945"",""ID033156"",""ID006147"",""ID007001"",""ID063623"",""ID043797"",""ID029297"",""ID032160"",""ID033156"",""ID020482""]","[""F3""]"
28,cluster122,F,"[""team1540"",""team1541"",""team3614""]","[""ID077897"",""ID036522"",""ID077896"",""ID077898"",""ID052321"",""ID011450"",""ID011450"",""ID011030"",""ID077898"",""ID066307"",""ID007160"",""ID032196"",""ID011450"",""ID036522""]","[""A1""]"
29,cluster123,F,"[""team1454"",""team1453"",""team3631""]","[""ID086639"",""ID087281"",""ID096436"",""ID096437"",""ID028562"",""ID084740"",""ID072871"",""ID085012"",""ID096052"",""ID084740"",""ID013201"",""ID096053"",""ID096055"",""ID096054"",""ID085299"",""ID086442"",""ID028562"",""ID096267"",""ID086441""]","[""A1""]"
30,cluster124,F,"[""team331"",""team1208""]","[""ID065581"",""ID065582"",""ID065583"",""ID057045"",""ID057837"",""ID001357"",""ID091413"",""ID091577"",""ID005046"",""ID091576"",""ID029069"",""ID001357"",""ID047951""]","[""B2""]"
31,cluster125,T,"[""team1617"",""team1675""]","[""ID065563"",""ID065565"",""ID024777"",""ID065564"",""ID049040"",""ID038351"",""ID049040"",""ID065565"",""ID060286""]","[""A1"",""F1""]"
32,cluster126,F,"[""team3137"",""team2564""]","[""ID039771"",""ID022301"",""ID032312"",""ID042352"",""ID000243"",""ID041352"",""ID000243"",""ID070307"",""ID070267"",""ID022301"",""ID047548"",""ID044210"",""ID070268"",""ID000235"",""ID070308"",""ID040139""]","[""A1""]"
33,cluster127,F,"[""team2159"",""team1431""]","[""ID015482"",""ID078916"",""ID007267"",""ID078917"",""ID068300"",""ID038491"",""ID068299"",""ID000818"",""ID022453"",""ID030549"",""ID078917"",""ID000818"",""ID079494"",""ID056115"",""ID059858""]","[""""]"
34,cluster128,F,"[""team4201"",""team1657""]","[""ID077822"",""ID077881"",""ID078157"",""ID078159"",""ID014955"",""ID077822"",""ID027532"",""ID029985""]","[""A1""]"
35,cluster129,F,"[""team2023"",""team3141""]","[""ID018635"",""ID037994"",""ID041700"",""ID035581"",""ID041322"",""ID066464"",""ID078588"",""ID040394"",""ID041700"",""ID046154"",""ID069045"",""ID008181"",""ID014680"",""ID069044""]","[""B2""]"
36,cluster13,F,"[""team2478"",""team3415""]","[""ID046217"",""ID003537"",""ID025256"",""ID077834"",""ID078079"",""ID078078"",""ID025256"",""ID078080""]","[""A1""]"
37,cluster130,T,"[""team388"",""team197"",""team387"",""team389"",""team1395"",""team2957"",""team4184""]","[""ID054057"",""ID013074"",""ID009009"",""ID025343"",""ID022560"",""ID071117"",""ID029834"",""ID037500"",""ID012658"",""ID058453"",""ID071118"",""ID071110"",""ID071108"",""ID092787"",""ID035228"",""ID008874"",""ID000485"",""ID044747"",""ID092794"",""ID071137"",""ID071130"",""ID071111"",""ID010723"",""ID071116"",""ID009117"",""ID043859"",""ID060591"",""ID049378"",""ID067623"",""ID009776"",""ID034143"",""ID047476"",""ID005859"",""ID009009"",""ID003083"",""ID022302"",""ID067622"",""ID012240"",""ID000851"",""ID019937"",""ID025242"",""ID000742"",""ID022560"",""ID071099"",""ID071098"",""ID071100"",""ID049378"",""ID022560"",""ID021800"",""ID043859"",""ID058453"",""ID001710"",""ID071127"",""ID017258"",""ID071128"",""ID009009"",""ID092790"",""ID067068"",""ID044747"",""ID071160"",""ID005521""]","[""B1"",""A1"",""A2"",""A3""]"
38,cluster131,F,"[""team2518"",""team3907"",""team198"",""team4143"",""team3248""]","[""ID013091"",""ID016954"",""ID039989"",""ID017530"",""ID027294"",""ID091962"",""ID036977"",""ID016444"",""ID054559"",""ID023058"",""ID032071"",""ID079754"",""ID067474"",""ID079755"",""ID012724"",""ID016444"",""ID040185"",""ID091832"",""ID009776"",""ID024674"",""ID016444"",""ID047476"",""ID011622"",""ID040758"",""ID016444"",""ID017530"",""ID030230"",""ID044090"",""ID020640"",""ID035042"",""ID016444""]","[""A2""]"
39,cluster132,F,"[""team3334"",""team3656""]","[""ID069003"",""ID069002"",""ID066503"",""ID069004"",""ID069001"",""ID066503"",""ID067120"",""ID067121"",""ID030658""]","[""A3""]"
40,cluster133,F,"[""team243"",""team327""]","[""ID068796"",""ID032594"",""ID034214"",""ID056000"",""ID094729"",""ID068797"",""ID068796"",""ID078344"",""ID032594""]","[""""]"
41,cluster134,F,"[""team2528"",""team591""]","[""ID079575"",""ID031872"",""ID079574"",""ID061796"",""ID079576"",""ID028583"",""ID031872"",""ID079568"",""ID034951"",""ID079567""]","[""F1""]"
42,cluster135,F,"[""team592"",""team4162""]","[""ID034751"",""ID004138"",""ID079568"",""ID003683"",""ID096206"",""ID079567"",""ID086274"",""ID079568"",""ID067757"",""ID086278""]","[""F1""]"
43,cluster136,F,"[""team1646"",""team3645""]","[""ID001668"",""ID069546"",""ID045775"",""ID055516"",""ID069546"",""ID080425"",""ID080423"",""ID080424""]","[""D1""]"
44,cluster137,F,"[""team2458"",""team3600""]","[""ID037139"",""ID091122"",""ID091120"",""ID091118"",""ID091119"",""ID019538"",""ID009242"",""ID091121"",""ID091123"",""ID031437"",""ID029781"",""ID019538"",""ID035548"",""ID010178""]","[""F3""]"
45,cluster138,F,"[""team2257"",""team257""]","[""ID001965"",""ID083413"",""ID019469"",""ID034872"",""ID029028"",""ID029028"",""ID083349"",""ID039661"",""ID083350""]","[""B3""]"
46,cluster139,F,"[""team3358"",""team2610""]","[""ID028377"",""ID004856"",""ID041329"",""ID023501"",""ID002151"",""ID060555"",""ID060554"",""ID060556"",""ID066810"",""ID015947"",""ID028377"",""ID004856""]","[""""]"
47,cluster14,F,"[""team2767"",""team4117""]","[""ID080079"",""ID080016"",""ID068512"",""ID068513"",""ID065864"",""ID028734"",""ID065863"",""ID016802"",""ID068513"",""ID065864""]","[""A1""]"
48,cluster140,F,"[""team138"",""team1116"",""team1117"",""team1118""]","[""ID077821"",""ID077820"",""ID007773"",""ID077890"",""ID077883"",""ID025562"",""ID008622"",""ID007996"",""ID006163"",""ID003662"",""ID077885"",""ID034380"",""ID077901"",""ID077891"",""ID026384"",""ID077886"",""ID077887"",""ID008622"",""ID052250"",""ID015049"",""ID020847"",""ID003662"",""ID008622"",""ID077895"",""ID078048"",""ID003662"",""ID008622""]","[""B1""]"
49,cluster141,F,"[""team596"",""team980""]","[""ID051257"",""ID003518"",""ID003870"",""ID016178"",""ID051479"",""ID026278"",""ID051257"",""ID057741"",""ID068126""]","[""""]"
50,cluster142,T,"[""team2199"",""team674"",""team1658""]","[""ID003497"",""ID051024"",""ID045420"",""ID033281"",""ID017166"",""ID073793"",""ID073794"",""ID045420"",""ID005977"",""ID006964"",""ID033281"",""ID038532""]","[""B2"",""D1""]"
51,cluster143,F,"[""team937"",""team938""]","[""ID069374"",""ID069370"",""ID069373"",""ID059227"",""ID069371"",""ID069372"",""ID069375"",""ID000567"",""ID077629"",""ID000567"",""ID045588"",""ID077628""]","[""G2""]"
52,cluster144,F,"[""team83"",""team3619""]","[""ID064651"",""ID077964"",""ID077966"",""ID077967"",""ID009576"",""ID077965"",""ID064651"",""ID067050"",""ID009576"",""ID028584""]","[""D3""]"
53,cluster145,T,"[""team3627"",""team3053""]","[""ID040363"",""ID045970"",""ID070754"",""ID070755"",""ID008403"",""ID070768"",""ID070718"",""ID070792"",""ID070718"",""ID070716"",""ID045970""]","[""B3"",""F1""]"
54,cluster146,T,"[""team2819"",""team2820"",""team3360""]","[""ID092709"",""ID071031"",""ID070805"",""ID070806"",""ID071030"",""ID070716"",""ID028519"",""ID001048"",""ID071030"",""ID047662"",""ID028519"",""ID070805"",""ID070915"",""ID092742"",""ID070914""]","[""D3"",""A1""]"
55,cluster147,F,"[""team1818"",""team1819"",""team718"",""team1817""]","[""ID062397"",""ID014142"",""ID062843"",""ID062844"",""ID046890"",""ID082823"",""ID062397"",""ID014142"",""ID082445"",""ID040051"",""ID062397"",""ID062396"",""ID014142"",""ID004659"",""ID052527"",""ID062397"",""ID062395"",""ID014142""]","[""D1""]"
56,cluster148,F,"[""team1175"",""team1174""]","[""ID076739"",""ID076740"",""ID076738"",""ID076741"",""ID076737"",""ID078027"",""ID078026"",""ID076738"",""ID078025""]","[""E1""]"
57,cluster149,F,"[""team51"",""team50""]","[""ID003981"",""ID073751"",""ID073750"",""ID093447"",""ID073748"",""ID073752"",""ID023410"",""ID073749"",""ID004015"",""ID073753"",""ID003981"",""ID073755"",""ID073754""]","[""B1""]"
58,cluster15,T,"[""team1562"",""team2063"",""team944"",""team2958""]","[""ID042373"",""ID092557"",""ID049674"",""ID025276"",""ID008364"",""ID026431"",""ID062129"",""ID033231"",""ID017693"",""ID028307"",""ID048524"",""ID072351"",""ID072171"",""ID062129"",""ID003785"",""ID070123"",""ID070522"",""ID070122"",""ID044257"",""ID070121"",""ID023431"",""ID070123"",""ID007793"",""ID025276"",""ID070101"",""ID021620"",""ID002194"",""ID007793""]","[""A1"",""F3"",""B1""]"
59,cluster150,F,"[""team523"",""team123""]","[""ID084802"",""ID084803"",""ID006998"",""ID065835"",""ID084801"",""ID084800"",""ID063040"",""ID084283"",""ID006998"",""ID063041"",""ID084282""]","[""G2""]"
60,cluster151,F,"[""team1303"",""team3896"",""team3897""]","[""ID082492"",""ID082488"",""ID018892"",""ID030423"",""ID042619"",""ID002322"",""ID082490"",""ID082489"",""ID082491"",""ID036904"",""ID082487"",""ID046208"",""ID022971"",""ID046208"",""ID082491"",""ID011508"",""ID022355"",""ID082491"",""ID095536"",""ID022971"",""ID024565""]","[""F1""]"
61,cluster152,F,"[""team899"",""team1481""]","[""ID070669"",""ID070668"",""ID070539"",""ID065648"",""ID065649"",""ID070670"",""ID092690"",""ID092691"",""ID085328"",""ID070670"",""ID085329"",""ID065648""]","[""""]"
62,cluster153,F,"[""team3213"",""team3353"",""team2157""]","[""ID081251"",""ID010696"",""ID026611"",""ID037016"",""ID002226"",""ID032383"",""ID065947"",""ID063483"",""ID068439"",""ID026803"",""ID032383"",""ID038131"",""ID080452"",""ID054342"",""ID032383""]","[""B1""]"
63,cluster154,F,"[""team3781"",""team1452"",""team3516""]","[""ID086738"",""ID032248"",""ID086739"",""ID086740"",""ID086741"",""ID032248"",""ID096704"",""ID088774"",""ID086741"",""ID060523"",""ID032248"",""ID016422"",""ID000200"",""ID039965""]","[""D1""]"
64,cluster155,F,"[""team3394"",""team4055""]","[""ID062795"",""ID062796"",""ID032986"",""ID062794"",""ID062796"",""ID032986"",""ID091064"",""ID091063""]","[""B2""]"
65,cluster156,F,"[""team3083"",""team3084""]","[""ID021916"",""ID091284"",""ID048002"",""ID035466"",""ID030617"",""ID048002"",""ID035466"",""ID036304""]","[""A1""]"
66,cluster157,F,"[""team1029"",""team481""]","[""ID075302"",""ID075301"",""ID075826"",""ID075300"",""ID075827"",""ID075303"",""ID071005"",""ID054859"",""ID078663"",""ID078662"",""ID071005"",""ID078656"",""ID078655""]","[""G4""]"
67,cluster158,T,"[""team1588"",""team2796""]","[""ID035163"",""ID009307"",""ID001849"",""ID037780"",""ID017806"",""ID072575"",""ID008121"",""ID037780"",""ID045894"",""ID006758"",""ID029073""]","[""A1"",""F2""]"
68,cluster159,F,"[""team3330"",""team3331"",""team479""]","[""ID085517"",""ID086821"",""ID090035"",""ID090036"",""ID090153"",""ID089927"",""ID089887"",""ID086909"",""ID089887"",""ID087345"",""ID085517"",""ID090019"",""ID089928"",""ID089887"",""ID085517""]","[""G2""]"
69,cluster16,F,"[""team1592"",""team2429""]","[""ID042898"",""ID061072"",""ID012440"",""ID032401"",""ID061070"",""ID061074"",""ID061075"",""ID061073"",""ID061071"",""ID009629"",""ID068395"",""ID061075"",""ID076244""]","[""F1""]"
70,cluster160,F,"[""team3715"",""team3688"",""team4134""]","[""ID016043"",""ID072883"",""ID090827"",""ID079916"",""ID055456"",""ID090890"",""ID090893"",""ID016043"",""ID097160"",""ID090887"",""ID015682"",""ID090889"",""ID090888"",""ID036755"",""ID016043"",""ID090849"",""ID072883"",""ID090871""]","[""A1""]"
71,cluster161,F,"[""team457"",""team3023"",""team1149""]","[""ID040538"",""ID061086"",""ID054700"",""ID013395"",""ID013822"",""ID081301"",""ID040538"",""ID081299"",""ID081300"",""ID054700"",""ID034521"",""ID049475"",""ID040538"",""ID065570"",""ID031204"",""ID054700"",""ID065571"",""ID065569""]","[""G1""]"
72,cluster162,F,"[""team13"",""team2839"",""team2463""]","[""ID078739"",""ID068514"",""ID007150"",""ID045802"",""ID078765"",""ID068515"",""ID077543"",""ID078766"",""ID094768"",""ID078739"",""ID015153"",""ID078740"",""ID078741"",""ID077543"",""ID040879"",""ID094769"",""ID078779"",""ID078739"",""ID077543"",""ID024384"",""ID078778""]","[""A1""]"
73,cluster163,F,"[""team720"",""team3765"",""team1115""]","[""ID073937"",""ID095366"",""ID072354"",""ID095367"",""ID095368"",""ID081770"",""ID081771"",""ID073941"",""ID081769"",""ID073939"",""ID073940"",""ID073938"",""ID079135"",""ID079214"",""ID073940"",""ID079224"",""ID081703"",""ID081704"",""ID081702"",""ID072354""]","[""G4""]"
74,cluster164,F,"[""team3102"",""team2075""]","[""ID012283"",""ID038783"",""ID005449"",""ID000336"",""ID025330"",""ID043994"",""ID020011"",""ID094602"",""ID029475"",""ID015819"",""ID077602"",""ID043994"",""ID029475"",""ID078109""]","[""D4""]"
75,cluster165,F,"[""team1619"",""team3103""]","[""ID082452"",""ID082453"",""ID082454"",""ID001155"",""ID021891"",""ID045474"",""ID092024"",""ID001155""]","[""A1""]"
76,cluster166,T,"[""team2095"",""team950"",""team1390"",""team3300""]","[""ID030409"",""ID041572"",""ID001646"",""ID064033"",""ID051350"",""ID064660"",""ID004277"",""ID021520"",""ID030409"",""ID004277"",""ID064043"",""ID064045"",""ID051393"",""ID064044"",""ID064046"",""ID030409"",""ID068046"",""ID067795"",""ID004277"",""ID010057"",""ID027927"",""ID065533"",""ID002190"",""ID043406"",""ID027927"",""ID065534""]","[""B1"",""G3""]"
77,cluster167,F,"[""team1520"",""team4212"",""team2254""]","[""ID096589"",""ID088879"",""ID087074"",""ID088115"",""ID071539"",""ID089871"",""ID089870"",""ID089869"",""ID088115"",""ID089869"",""ID096700"",""ID096702"",""ID096703"",""ID096701""]","[""A1""]"
78,cluster168,F,"[""team2605"",""team3766""]","[""ID075682"",""ID075772"",""ID075681"",""ID092769"",""ID076870"",""ID076871"",""ID076872"",""ID092769""]","[""B3""]"
79,cluster169,F,"[""team1478"",""team1477""]","[""ID076648"",""ID075886"",""ID008111"",""ID076649"",""ID076647"",""ID076871"",""ID075886"",""ID020147"",""ID076448""]","[""F1""]"
80,cluster17,F,"[""team1872"",""team1871""]","[""ID017874"",""ID042509"",""ID074698"",""ID074696"",""ID017874"",""ID074698"",""ID025450"",""ID074697""]","[""B1""]"
81,cluster170,F,"[""team280"",""team279"",""team281""]","[""ID061815"",""ID058276"",""ID061813"",""ID022906"",""ID061812"",""ID024330"",""ID062582"",""ID022906"",""ID028564"",""ID062578"",""ID062579"",""ID062580"",""ID062585"",""ID022906"",""ID028564"",""ID062584"",""ID061766"",""ID058276""]","[""B2""]"
82,cluster171,F,"[""team1533"",""team438""]","[""ID007972"",""ID082885"",""ID011826"",""ID000930"",""ID082897"",""ID082894"",""ID011826"",""ID000930""]","[""B2""]"
83,cluster172,F,"[""team1700"",""team1701""]","[""ID072148"",""ID072149"",""ID072145"",""ID072154"",""ID072147"",""ID072223"",""ID072147"",""ID072221"",""ID072220""]","[""E2""]"
84,cluster173,F,"[""team923"",""team924""]","[""ID080625"",""ID080246"",""ID080469"",""ID080468"",""ID027458"",""ID080566"",""ID036731"",""ID046482"",""ID057222"",""ID067001"",""ID046482"",""ID057222"",""ID051280""]","[""A1""]"
85,cluster174,F,"[""team906"",""team66"",""team1325"",""team2993""]","[""ID081096"",""ID081267"",""ID035443"",""ID081104"",""ID065968"",""ID030640"",""ID081103"",""ID065969"",""ID080403"",""ID081097"",""ID081102"",""ID081099"",""ID081101"",""ID056068"",""ID034157"",""ID065967"",""ID080404"",""ID008337"",""ID081098"",""ID081100"",""ID048181"",""ID062703"",""ID035443"",""ID038697"",""ID062702"",""ID062699"",""ID062701"",""ID062697"",""ID062700"",""ID035443"",""ID095241"",""ID010657"",""ID003680"",""ID081130"",""ID073738"",""ID062698"",""ID081131"",""ID035443"",""ID038697"",""ID095217""]","[""G1""]"
86,cluster175,F,"[""team993"",""team994""]","[""ID060546"",""ID009493"",""ID018942"",""ID002217"",""ID008184"",""ID060546"",""ID082054"",""ID008184"",""ID082382""]","[""B1""]"
87,cluster176,F,"[""team4116"",""team3289"",""team933""]","[""ID006227"",""ID029041"",""ID056860"",""ID091339"",""ID024736"",""ID091338"",""ID039705"",""ID006227"",""ID029041"",""ID067707"",""ID067706"",""ID067815"",""ID067818"",""ID006756"",""ID020212"",""ID067706""]","[""A1""]"
88,cluster177,F,"[""team372"",""team2575""]","[""ID011576"",""ID057224"",""ID091851"",""ID080266"",""ID057224"",""ID080945"",""ID095203"",""ID004692""]","[""A3""]"
89,cluster178,F,"[""team3940"",""team1668""]","[""ID087873"",""ID087950"",""ID088021"",""ID087952"",""ID078848"",""ID087954"",""ID087953"",""ID096567"",""ID096565"",""ID069709"",""ID096568"",""ID096569"",""ID096566"",""ID078848""]","[""B2""]"
90,cluster179,F,"[""team31"",""team492"",""team2321""]","[""ID012175"",""ID012668"",""ID024230"",""ID028026"",""ID017512"",""ID082877"",""ID049675"",""ID046636"",""ID059473"",""ID069089"",""ID041451"",""ID041525"",""ID046636"",""ID014618"",""ID082556"",""ID035000"",""ID001742"",""ID046636""]","[""F1""]"
91,cluster18,T,"[""team316"",""team1007"",""team3633""]","[""ID059964"",""ID067221"",""ID034197"",""ID063880"",""ID067220"",""ID072483"",""ID072484"",""ID047966"",""ID065474"",""ID028555"",""ID067222"",""ID060699"",""ID091788"",""ID060698"",""ID091787"",""ID067222"",""ID059964"",""ID063369"",""ID063370"",""ID063368"",""ID091057""]","[""B3"",""A1"",""A3""]"
92,cluster180,F,"[""team3217"",""team319""]","[""ID084581"",""ID084583"",""ID095935"",""ID095934"",""ID084580"",""ID095936"",""ID084582"",""ID090582"",""ID084583"",""ID090581"",""ID097069""]","[""F1""]"
93,cluster181,F,"[""team2417"",""team1559""]","[""ID017325"",""ID064085"",""ID062691"",""ID026844"",""ID062687"",""ID087225"",""ID036366"",""ID085449"",""ID063779"",""ID042137"",""ID087224"",""ID065454"",""ID062690"",""ID062686"",""ID062685"",""ID065455"",""ID062689"",""ID062688"",""ID064085"",""ID027751"",""ID064084"",""ID064086"",""ID063843""]","[""B1""]"
94,cluster182,T,"[""team1998"",""team1911"",""team2399""]","[""ID026162"",""ID062668"",""ID035067"",""ID087217"",""ID087218"",""ID088806"",""ID062668"",""ID087265"",""ID087264"",""ID087266"",""ID088831"",""ID088813"",""ID088830"",""ID087266""]","[""B2"",""A1""]"
95,cluster183,F,"[""team3448"",""team3236""]","[""ID065623"",""ID006405"",""ID059287"",""ID065624"",""ID065625"",""ID033107"",""ID051073"",""ID079009"",""ID079010"",""ID006405"",""ID065897"",""ID021424"",""ID079008""]","[""G2""]"
96,cluster184,F,"[""team1045"",""team3243"",""team3428""]","[""ID044946"",""ID000204"",""ID082811"",""ID006212"",""ID082812"",""ID082955"",""ID082813"",""ID006212"",""ID004079"",""ID020434"",""ID000227"",""ID006212"",""ID066873"",""ID055470"",""ID066874""]","[""E2""]"
